Address,Name Tag,Balance,Percentage,Txn Count
"0x5f7f13d0008783c7482999d7bca5be030d98cfe1","","554.61097272 ETH","0.00046185%","1"
"0xc5f42d34e526edd6466de67cdb7d3279e62b3835","","554.60099547 ETH","0.00046184%","24"
"0xa6724083a78c106c9e6141217de40344744cf9d7","","554.310004 ETH","0.00046159%","21"
"0x8e0a79c0e6242210f4abbb372e4188314af01bd0","","554.17912098 ETH","0.00046149%","17"
"0xa4e7699902927647cdf62fb0dbff40e4ee019e52","","554.10912556 ETH","0.00046143%","3"
"0x60733d45eaecc843237bb86b6b2f3649b6da4aae","","554.06387024 ETH","0.00046139%","4"
"0xb3e11e594b2e6627062f9e66a5edea629fd9f3bb","","554.03212829 ETH","0.00046136%","87"
"0x52e7e26936d6da76e4b02834662872a354fd0379","","554.01261524 ETH","0.00046135%","55"
"0xb700b2c01f84d834cadb4e8bc83fbed516040dcc","","553.95700774 ETH","0.00046130%","9"
"0x6a68db71f1e8f45274b9f07a566c3fa27c978a8c","","553.95188972 ETH","0.00046130%","14"
"0x9f1eddfaccc91295a6464663f95885b442cc7cfa","","553.48020924 ETH","0.00046090%","6"
"0x347a70cb4ff0297102dc549b044c41bd61e22718","","553.46905971 ETH","0.00046089%","43"
"0x6f0cdce1e08600fcf2c2f4209354471fdd9a55dc","","553.384 ETH","0.00046082%","1"
"0x6e9e17fcb56a455f7c445590004c97307255c9af","","553.37159787 ETH","0.00046081%","66"
"0x399214e0238e66467fa08c33a8432d7e7ec266b3","","553.17563479 ETH","0.00046065%","59"
"0x47941e6e8d19d6fe10a43af2b311d3350a097dca","","552.91539589 ETH","0.00046043%","4"
"0xe7ec889a099c58837583b70757a26a418537dac5","","552.89879118 ETH","0.00046042%","7"
"0x18dcb90c9beaf938ed76e7ce139ebaaf98db9309","","552.8791488 ETH","0.00046040%","3"
"0x7a3f9b7120386249528c93e5eb373b78e54d5ba9","","552.70197844 ETH","0.00046026%","0"
"0x711b68ebac21e301641e11ecd83070bbd4681215","","552.28636383 ETH","0.00045991%","160"
"0xe24e7c5bba851373486229155048cca97b76c9bd","","552.2397924 ETH","0.00045987%","5"
"0x799f1e3a96ecb85817716d3e1b8cdf18a9e37727","","552.13042153 ETH","0.00045978%","15"
"0x5b9205728b797c0ee826234ac1371f6eaec95b70","","551.78765095 ETH","0.00045949%","7"
"0xd17d8cfa2f0aed4a4b08ef15cfaa0f57b5d46704","","551.74622344 ETH","0.00045946%","13"
"0x01c18e11c8033616296b6dd029155487e1a873aa","","551.63593137 ETH","0.00045937%","7"
"0xde8d94c93b1bfd1263f1e23ee59de007667ac41f","","551.58626286 ETH","0.00045933%","15"
"0x6f1568c9a1be923664bb79417e7005e4131db8cf","","551.51045503 ETH","0.00045926%","27"
"0x35eb4214d797a6fcc712f0677f5eed63157d3ae8","","551.39111077 ETH","0.00045916%","137"
"0x617a12ce7905045a1c8d937c010801d82495b452","","551.31930783 ETH","0.00045910%","1"
"0xe20106a9e60f311c127410481cf85c1250935a33","","551.29 ETH","0.00045908%","2"
"0xfc18f6db7d66b17ce3c16dd595a6eb40618c5add","","551.26878917 ETH","0.00045906%","15"
"0x5bb3f53300d7463840b170f9d9f2d047c60b9ea3","","551.23059362 ETH","0.00045903%","4"
"0xda0c27269c049e915e2cc7e5f1a7a2f838ec8dec","","551.16502233 ETH","0.00045898%","6,196"
"0xc4e86ba54a6176bb244f4a63868f9f0cc6f37aa7","","550.98425126 ETH","0.00045883%","30"
"0x45bcd205ef677c460984d29ff94fbf661e831ae8","","550.8679 ETH","0.00045873%","2"
"0x6b5055bddba300d1c0c433663e03a2b0116d1402","","550.81112928 ETH","0.00045868%","11"
"0x68b21abe58b175da0b4a518d2e8a16ab6d66b698","","550.7107891 ETH","0.00045860%","102"
"0x487167067181577543f1a47f025624d704e22bc4","","550.67927725 ETH","0.00045857%","4"
"0xe4dfa691b5123fb21131fcd78d33ba58f7fc17ca","","550.66509996 ETH","0.00045856%","11"
