,to,tokenId,block_transac,from,tokenId,block_prev
1,0x070728a3ae1e70bd2c28fd6823e41d0577ce4363,0x04ed,13110495,0x000c1cac6fef87de3fb1e3b15bb1b5311020e1c3,0x04ed,5474495.0
2,0x0c462233da460bd89bdd599f9c127ecc7fa5acf1,0x04ed,19404495,0x070728a3ae1e70bd2c28fd6823e41d0577ce4363,0x04ed,13110495.0
3,0x21faa7406de0e6f99c313375b4e0dcad3ea38e2a,0x04ed,14294495,0x0c462233da460bd89bdd599f9c127ecc7fa5acf1,0x04ed,19404495.0
4,0x70dd0782cb3130d530e6e00abc0f47c199919462,0x04ed,10394495,0x21faa7406de0e6f99c313375b4e0dcad3ea38e2a,0x04ed,14294495.0
5,0x79782b0ae9b71cff36bb32b4ef0935fd3c190350,0x04ed,13694495,0x70dd0782cb3130d530e6e00abc0f47c199919462,0x04ed,10394495.0
6,0x82d438bf419c889c591476a6635268840feeef9a,0x04ed,16494495,0x79782b0ae9b71cff36bb32b4ef0935fd3c190350,0x04ed,13694495.0
7,0xc440e04f4849708f41971a754f003fe2fd2093a3,0x04ed,15324495,0x82d438bf419c889c591476a6635268840feeef9a,0x04ed,16494495.0
8,0xddd3d68c069e2260aa425220b090fcf6e985edda,0x04ed,18764495,0xc440e04f4849708f41971a754f003fe2fd2093a3,0x04ed,15324495.0
1,0x843d81eaf23c0073426581de5a3735b060888f1b,0x0904,11977495,0x001da99a3554b6506bdc2079fee6a97081f1b58b,0x0904,5474495.0
2,0x91510281ee0e4ae0ab5199cf89a43f11ded6264f,0x0904,7464495,0x843d81eaf23c0073426581de5a3735b060888f1b,0x0904,11977495.0
3,0xe71879304f842bffb76194aa8618fae87fbf90fe,0x0904,18764495,0x91510281ee0e4ae0ab5199cf89a43f11ded6264f,0x0904,7464495.0
4,0xef6d69922bc2d038cb508086846524f8011c4a74,0x0904,12194495,0xe71879304f842bffb76194aa8618fae87fbf90fe,0x0904,18764495.0
1,0x1ae35fce5942bcecca5f47d9d34d267658d6ac17,0x25fc,13074495,0x002ca2d9bccd631876ee79e0a5d59f228bcde007,0x25fc,5474495.0
2,0x75b9a53e647b87c040037e26069a98d4c41fcff2,0x25fc,13374495,0x1ae35fce5942bcecca5f47d9d34d267658d6ac17,0x25fc,13074495.0
3,0x8fccac516380d4c23a7b6b9aa3a6fe0f96bbc17e,0x25fc,10394495,0x75b9a53e647b87c040037e26069a98d4c41fcff2,0x25fc,13374495.0
